term,cf,rank,cf_times_rank
the,4663,1,4663
to,4325,2,8650
of,3844,3,11532
and,3767,4,15068
her,2284,5,11420
i,2119,6,12714
a,2038,7,14266
in,1994,8,15952
was,1875,9,16875
she,1751,10,17510
that,1646,11,18106
it,1590,12,19080
not,1500,13,19500
you,1375,14,19250
he,1358,15,20370
his,1303,16,20848
be,1264,17,21488
as,1229,18,22122
had,1186,19,22534
with,1103,20,22060
for,1096,21,23016
but,1038,22,22836
is,926,23,21298
have,879,24,21096
at,816,25,20400
mr,808,26,21008
him,777,27,20979
on,734,28,20552
my,728,29,21112
by,699,30,20970
all,651,31,20181
they,610,32,19520
so,607,33,20031
elizabeth,605,34,20570
were,570,35,19950
which,568,36,20448
been,536,37,19832
could,531,38,20178
from,510,39,19890
no,509,40,20360
very,504,41,20664
what,492,42,20664
would,485,43,20855
this,466,44,20504
me,462,45,20790
their,456,46,20976
your,455,47,21385
them,445,48,21360
will,428,49,20972
said,406,50,20300
